,x,y,z,c
7500,-0.08514404,-0.68167114,0.60317993,stairsdown
7501,-0.009307861,-0.59942627,0.5102539,stairsdown
7502,0.07827759,-0.50115967,0.4045105,stairsdown
7503,0.15090942,-0.36444092,0.2998352,stairsdown
7504,0.19470215,-0.18713379,0.20050049,stairsdown
7505,0.19897461,0.030761719,0.10864258,stairsdown
7506,0.17440796,0.26681520000000003,0.015716553,stairsdown
7507,0.13595581,0.50286865,-0.09109497,stairsdown
7508,0.10070801,0.7154235999999999,-0.20751953,stairsdown
7509,0.08148193,0.8991394,-0.33676147,stairsdown
7510,0.0718689,1.0561523000000002,-0.46066284,stairsdown
7511,0.11672974,1.2975464,-0.65719604,stairsdown
7512,0.0793457,1.1875305,-0.57388306,stairsdown
7513,0.18188477,1.3733826,-0.7255554,stairsdown
7514,0.2684021,1.4171753,-0.76187134,stairsdown
7515,0.35385132,1.4299927,-0.75653076,stairsdown
7516,0.42755127,1.4118347,-0.71380615,stairsdown
7517,0.49377440000000006,1.3659058000000002,-0.6401062,stairsdown
7518,0.55145264,1.3050232,-0.5493164,stairsdown
7519,0.60058594,1.2249146,-0.4499817,stairsdown
7520,0.6401062,1.1074218999999998,-0.35064697,stairsdown
7521,0.70098877,0.7293090999999999,-0.184021,stairsdown
7522,0.67962646,0.9472046000000001,-0.25772095,stairsdown
7523,0.69992065,0.46548462,-0.13595581,stairsdown
7524,0.6732178000000001,0.20379639,-0.11352539,stairsdown
7525,0.61553955,-0.014099121000000001,-0.114593506,stairsdown
7526,0.5258179000000001,-0.1807251,-0.12527466,stairsdown
7527,0.41687012,-0.29714966,-0.13809204,stairsdown
7528,0.30899048,-0.37191772,-0.14877320000000002,stairsdown
7529,0.23208618,-0.42211914,-0.13916016,stairsdown
7530,0.18722534,-0.45950317,-0.11352539,stairsdown
7531,0.15945435,-0.504364,-0.07507324,stairsdown
7532,0.13381958,-0.5534973000000001,-0.016326904,stairsdown
7533,0.12313843,-0.59835815,0.042419434000000006,stairsdown
7534,0.12954712,-0.6357421999999999,0.09155273400000001,stairsdown
7535,0.15411377,-0.6645813,0.12145996,stairsdown
7536,0.184021,-0.68273926,0.131073,stairsdown
7537,0.21392822,-0.6976929000000001,0.12573242,stairsdown
7538,0.23742676,-0.7073059,0.103302,stairsdown
7539,0.25665283,-0.7126465,0.07873535,stairsdown
7540,0.27053833,-0.7073059,0.050964355,stairsdown
7541,0.27908325,-0.6859436,0.028533936,stairsdown
7542,0.29937744,-0.6699219,0.013580321999999999,stairsdown
7543,0.32073975,-0.64108276,-0.004577637,stairsdown
7544,0.33569336,-0.6004944000000001,-0.028076172000000003,stairsdown
7545,0.3453064,-0.55563354,-0.054779053,stairsdown
7546,0.3527832,-0.50115967,-0.08682251,stairsdown
7547,0.3591919,-0.44348145,-0.11886597,stairsdown
7548,0.36132813,-0.39648438,-0.15625,stairsdown
7549,0.3656006,-0.3484192,-0.19897461,stairsdown
7550,0.36880493,-0.31103516,-0.24383545,stairsdown
7551,0.36987305,-0.28433228,-0.28335570000000004,stairsdown
7552,0.37307740000000006,-0.26190186,-0.32287598,stairsdown
7553,0.36987305,-0.23840332,-0.3666687,stairsdown
7554,0.3656006,-0.22772217,-0.41152954,stairsdown
7555,0.36453247,-0.22131348,-0.4574585,stairsdown
7556,0.36239624,-0.22344970000000003,-0.50445557,stairsdown
7557,0.35385132,-0.23092651,-0.5493164,stairsdown
7558,0.34317017,-0.23733520000000002,-0.58883667,stairsdown
7559,0.32714844,-0.24588013,-0.62301636,stairsdown
7560,0.31112670000000003,-0.25656128,-0.6454468000000001,stairsdown
7561,0.29617309999999997,-0.25976563,-0.65719604,stairsdown
7562,0.28549194,-0.25549316,-0.66360474,stairsdown
7563,0.27160645,-0.24267578,-0.66360474,stairsdown
7564,0.26092529999999997,-0.22024536,-0.6529235999999999,stairsdown
7565,0.25131226,-0.19140625,-0.6465149,stairsdown
7566,0.23635864,-0.16149902,-0.6347656,stairsdown
7567,0.22033691,-0.13265991,-0.62194824,stairsdown
7568,0.20217896,-0.102752686,-0.6134033,stairsdown
7569,0.18295288,-0.08245849599999999,-0.6048584,stairsdown
7570,0.15731812,-0.06430054,-0.5995178000000001,stairsdown
7571,0.13061523,-0.0546875,-0.5984497,stairsdown
7572,0.09536743,-0.055755615,-0.59417725,stairsdown
7573,0.053710938,-0.07284546,-0.5899048000000001,stairsdown
7574,0.012054443,-0.100616455,-0.58883667,stairsdown
7575,-0.030670166000000002,-0.13586426,-0.58883667,stairsdown
7576,-0.06484985,-0.16363525,-0.60165405,stairsdown
7577,-0.09048462,-0.17965698,-0.6176758000000001,stairsdown
7578,-0.10864258,-0.17858887,-0.64224243,stairsdown
7579,-0.122528076,-0.16149902,-0.675354,stairsdown
7580,-0.13748169,-0.14013672,-0.7095336999999999,stairsdown
7581,-0.15991211,-0.102752686,-0.7458496,stairsdown
7582,-0.18768310000000002,-0.03652954,-0.7661438,stairsdown
7583,-0.21438599,0.06280517599999999,-0.76934814,stairsdown
7584,-0.24322510000000003,0.18777466,-0.7522583,stairsdown
7585,-0.26885986,0.3309021,-0.71380615,stairsdown
7586,-0.28381348,0.47830200000000006,-0.6742859,stairsdown
7587,-0.2934265,0.62249756,-0.6336975,stairsdown
7588,-0.29769897,0.74853516,-0.59310913,stairsdown
7589,-0.29769897,0.8574828999999999,-0.55892944,stairsdown
7590,-0.29556274,0.94400024,-0.53115845,stairsdown
7591,-0.29449463,1.0112915,-0.5065917999999999,stairsdown
7592,-0.28488159999999996,1.0390625,-0.46066284,stairsdown
7593,-0.26458740000000003,1.0219726999999998,-0.4093933,stairsdown
7594,-0.23468018,0.95254517,-0.33569336,stairsdown
7595,-0.18234253,0.8361206,-0.26626587,stairsdown
7596,-0.08941650400000001,0.710083,-0.21286010000000002,stairsdown
7597,0.06866455,0.62249756,-0.18081665,stairsdown
7598,0.29403687,0.5819092,-0.1701355,stairsdown
7599,0.54397583,0.5573425,-0.15625,stairsdown
7600,0.758667,0.5274353,-0.112457275,stairsdown
7601,0.88897705,0.46762085,-0.020599365,stairsdown
7602,0.8985901,0.36080933,0.116119385,stairsdown
7603,0.7800293,0.20593262,0.26138306,stairsdown
7604,0.57281494,0.017944336,0.36071777,stairsdown
